Covidence #,Study ID,Title,Reviewer Name,Include?,Primary study aim,Country in which the study was conducted,Study design,Data source,Database/Randomized controlled trial name (if applicable),Clinical setting of data collection,Start date for collection of patient data (YYYY),End date for collection of patient data (YYYY),Age criteria for inclusion (in years),"How is TBI defined? (e.g., ""ICD9 codes"", ""Not defined"")",Range of TBI severity in patient population,"Factors used to define TBI severity, separated by commas (e.g., ""GCS"", ""GCS, AIS"")",Specific inclusion criteria,Specific exclusion criteria,Number of participants included in prognostication analysis,Average age of participants (in years),"Male/female ratio (""M"" if all male, ""F"" if all female)",Prognostic factors and outcomes analyses,Types of models involved for prognostication analysis,Additional notes on core information,Additional notes
8131,Rodriguez 2013,"Predicting mortality from head injury: experience of Sancti Spiritus Province, Cuba.",Steven Qiu,Yes,Analysis of prognostic factors,Other: Cuba,Case control study,Retrospective chart review,"",Hospital admission,2009,2010,"",Not defined,"","","","",47,52.1,2.13,"GCS | Mortality (at discharge) | Y | Chi-squared
GCS motor | Mortality (at discharge) | Y | Chi-squared
Pupil reactivity | Mortality (at discharge) | Y | Chi-squared
Respiratory distress | Mortality (at discharge) | Y | Chi-squared
SBP (<120 mmHg) | Mortality (at discharge) | N | Chi-squared
SBP (>=150 mmHg) | Mortality (at discharge) | N | Chi-squared
Hemoglobin | Mortality (at discharge) | N | Chi-squared
Glucose (blood) | Mortality (at discharge) | Y | Chi-squared
Subdural hematoma | Mortality (at discharge) | Y | Chi-squared
Multiple lesions (CT) | Mortality (at discharge) | Y | Chi-squared",Chi-squared/Fisher's exact test,"",""
8056,Izzy 2013,"Self-fulfilling prophecies through withdrawal of care: do they exist in traumatic brain injury, too?.",Steven Qiu,Yes,Other: Factors associated with withdrawal of care,US,Cohort study,Prospective data collection,"",Emergency department; Hospital admission,2009,2013,"",Not defined,Moderate; Severe,GCS,"","",232,53.26,2.27,"Age | Mortality (at discharge) | Y | U-test
Gender | Mortality (at discharge) | N | Fisher's exact test
Ethnicity | Mortality (at discharge) | N | Fisher's exact test
GCS | Mortality (at discharge) | Y | U-test
GCS motor | Mortality (at discharge) | Y | U-test
ISS | Mortality (at discharge) | N | U-test
Marshall score | Mortality (at discharge) | Y | Fisher's exact test
Pupil reactivity | Mortality (at discharge) | Y | Fisher's exact test
SBP (<90mmHg) | Mortality (at discharge) | Y | Fisher's exact test
SpO2 (<90) | Mortality (at discharge) | N | Fisher's exact test
Penetrating | Mortality (at discharge) | Y | Fisher's exact test
Mechanism | Mortality (at discharge) | Y | Fisher's exact test
Cardiac arrest | Mortality (at discharge) | Y | Fisher's exact test
Anticoagulant use (Coumadin) | Mortality (at discharge) | N | Fisher's exact test
Anticoagulant use (Dabigatran) | Mortality (at discharge) | N | Fisher's exact test
Antiplatelet use (Clopidogrel) | Mortality (at discharge) | Y | Fisher's exact test
INR (>=1.5) | Mortality (at discharge) | Y | Fisher's exact test
ICU (duration) | Mortality (at discharge) | Y | Fisher's exact test
Pneumonia (ICU) | Mortality (at discharge) | Y | Fisher's exact test
Sepsis (ICU) | Mortality (at discharge) | Y | Fisher's exact test
ARDS (ICU) | Mortality (at discharge) | N | Fisher's exact test
VTE (ICU) | Mortality (at discharge) | N | Fisher's exact test
Hypotension (ICU, requiring pressors) | Mortality (at discharge) | Y | Fisher's exact test
Fever (ICU) | Mortality (at discharge) | Y | Fisher's exact test
Hyperglycemia (ICU) | Mortality (at discharge) | Y | Fisher's exact test
Acute renal failure (ICU) | Mortality (at discharge) | N | Fisher's exact test
Acute liver failure | Mortality (at discharge) | N | Fisher's exact test
Cardiac arrest (ICU) | Mortality (at discharge) | Y | Fisher's exact test
Uncal herniation (ICU) | Mortality (at discharge) | Y | Fisher's exact test
Brain edema (ICU, requiring osmotherapy) | Mortality (at discharge) | Y | Fisher's exact test
ICP crisis (ICU) | Mortality (at discharge) | Y | Fisher's exact test
Rebleed (ICU) | Mortality (at discharge) | N | Fisher's exact test
Comorbidity (number of systems) | Mortality (at discharge) | N | Fisher's exact test
Comorbidity (cardiovascular) | Mortality (at discharge) | Y | Fisher's exact test
Comorbidity (endocrine) | Mortality (at discharge) | Y | Fisher's exact test
Comorbidity (oncological) | Mortality (at discharge) | N | Fisher's exact test
Comorbidity (renal) | Mortality (at discharge) | Y | Fisher's exact test
Comorbidity (neurological) | Mortality (at discharge) | N | Fisher's exact test

Age | Mortality (at discharge) | N | Regression
GCS | Mortality (at discharge) | N | Regression
GCS motor | Mortality (at discharge) | N | Regression
Marshall score | Mortality (at discharge) | N | Regression
Pupil reactivity | Mortality (at discharge) | Y | Regression
SBP (<90mmHg) | Mortality (at discharge) | N | Regression
Penetrating | Mortality (at discharge) | N | Regression
Mechanism | Mortality (at discharge) | N | Regression
Cardiac arrest | Mortality (at discharge) | N | Regression
Antiplatelet use (Clopidogrel) | Mortality (at discharge) | N | Regression
INR (>=1.5) | Mortality (at discharge) | N | Regression
ICU (duration) | Mortality (at discharge) | Y | Regression
Pneumonia (ICU) | Mortality (at discharge) | N | Regression
Sepsis (ICU) | Mortality (at discharge) | N | Regression
Hypotension (ICU, requiring pressors) | Mortality (at discharge) | N | Regression
Fever (ICU) | Mortality (at discharge) | N | Regression
Hyperglycemia (ICU) | Mortality (at discharge) | N | Regression
Cardiac arrest (ICU) | Mortality (at discharge) | Y | Regression
Uncal herniation (ICU) | Mortality (at discharge) | Y | Regression
Brain edema (ICU, requiring osmotherapy) | Mortality (at discharge) | N | Regression
ICP crisis (ICU) | Mortality (at discharge) | N | Regression
Comorbidity (cardiovascular) | Mortality (at discharge) | N | Regression
Comorbidity (endocrine) | Mortality (at discharge) | Y | Regression
Comorbidity (renal) | Mortality (at discharge) | N | Regression","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","","Original paper is tagged with ""adult brain injury""
https://link.springer.com/article/10.1007/s12028-013-9817-2"
7821,Cassidy 2014,"Population-based, inception cohort study of the incidence, course, and prognosis of mild traumatic brain injury after motor vehicle collisions.",Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
7806,Majdan 2014,Timing and duration of intracranial hypertension versus outcomes after severe traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,"Other: Austria, Croatia, Slovakia",Cohort study,Retrospective database/RCT data,International Traumatic Coma Projects,Hospital admission,2001,2005,"",Not defined,Severe,GCS,"ICP monitoring
Isolated TBI","Non-head AIS >2
Fixed and dilated pupils after resuscitation ",204,49.1,3,"Intracranial hypertension | Mortality (ICU) | Y | Chi-squared
Intracranial hypertension | Mortality (at discharge) | Y | Chi-squared
Intracranial hypertension | Mortality (6 months post-injury) | Y | Chi-squared
Intracranial hypertension | GOS (6 months post-injury) | Y | Chi-squared
Intracranial hypertension (duration) | Mortality (ICU) | Y | Chi-squared

Intracranial hypertension | Mortality (10 days post-injury) | Log-rank test
(6 months post-injury)

Intracranial hypertension (early) | Mortality (ICU) | Y | Regression
Intracranial hypertension (late) | Mortality (ICU) | Y | Regression
Age | Mortality (ICU) | Y | Regression
GCS (admission) | Mortality (ICU) | N | Regression
AIS head | Mortality (ICU) | Y | Regression

Intracranial hypertension (early) | GOS (6 months post-injury) | Y | Regression
Intracranial hypertension (late) | GOS (6 months post-injury) | Y | Regression
Age | GOS (6 months post-injury) | Y | Regression
GCS (admission) | GOS (6 months post-injury) | Y | Regression
AIS head | GOS (6 months post-injury) | Y | Regression","Regression (i.e., logistic, linear); Chi-squared/Fisher's exact test; Other: Log-rank test","","In original paper about database, most (but not all patients) were between 16-59
https://link-springer-com.libaccess.lib.mcmaster.ca/content/pdf/10.1007/s00508-006-0760-5.pdf"
7780,Le 2014,Does brain volume loss predict cognitive and narrative discourse performance following traumatic brain injury?.,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
7776,Mata-Mbemba 2014,Early CT findings to predict early death in patients with traumatic brain injury: Marshall and Rotterdam CT scoring systems compared in the major academic tertiary care hospital in northeastern Japan.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Japan,Cohort study,Retrospective chart review,"",Emergency department; Hospital admission,2009,2010,>=15,Not defined,Mild; Moderate; Severe,GCS,CT imaging available,"",245,49.4,2.06,"Absent basal cisterns | Mortality (at discharge) | Y | Regression
Compressed basal cisterns | Mortality (at discharge) | N | Regression
Midline shift | Mortality (at discharge) | Y | Regression
EDH | Mortality (at discharge) | N | Regression
SAH/IVH | Mortality (at discharge) | Y | Regression
Hemorrhage volume (>=25mL) | Mortality (at discharge) | Y | Regression
Hemorrhage volume (<25mL) | Mortality (at discharge) | N | Regression
Marshall score | Mortality (at discharge) | Y | U-test
Rotterdam score | Mortality (at discharge) | Y | U-test","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test","",""
7762,Alhilali 2014,Detection of central white matter injury underlying vestibulopathy after mild traumatic brain injury.,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
7760,Juratli 2014,"Early hemorrhagic progression of traumatic brain contusions: frequency, correlation with coagulation disorders, and patient outcome: a prospective study.",Steven Qiu,Yes,Analysis of prognostic factors,Other: Germany,Cohort study,Prospective data collection,"",Emergency department; Hospital admission,2008,2012,>16,AIS,"","","Isolated TBI
Positive CT findings (hemorrhage)","Absence of severe extracranial injuries (non-head AIS >=3)
Anticoagulant or antiplatelet use",153,52 (median),4.1,"Age | Bleed progression | N | U-test
Gender | Bleed progression | N | Fisher's exact test
GCS (<=8) | Bleed progression | N | Fisher's exact test
Pupil reactivity | Bleed progression | N | Fisher's exact test
Alcoholism | Bleed progression | Y | Fisher's exact test
EDH | Bleed progression | N | Fisher's exact test
SAH | Bleed progression | N | Fisher's exact test
SDH | Bleed progression | N | Fisher's exact test
Contusion size (>3cm) | Bleed progression | N | Fisher's exact test
Marshall score (>=5) | Bleed progression | N | Fisher's exact test
Coagulopathy (trauma-induced) | Bleed progression | Y | Fisher's exact test
Coagulopathy (abnormal INR or PTT or platelet counts) | Bleed progression | Y | Fisher's exact test
INR (>1.2) | Bleed progression | N | Fisher's exact test
aPTT (>36) | Bleed progression | N | Fisher's exact test
Platelet count (<100x10^9) | Bleed progression | Y | Fisher's exact test
Fibrinogen (<2) | Bleed progression | N | Fisher's exact test
Factor XIII (<60) | Bleed progression | Y | Fisher's exact test
D-dimer (>10000) | Bleed progression | N | Fisher's exact test

Bleed progression | ICU (duration) | Y | U-test
Bleed progression | Admission (duration) | N | U-test
Bleed progression | mRS (at discharge, >=4) | Y | Fisher's exact test
Bleed progression | Mortality (at discharge) | N | Fisher's exact test
Bleed progression | mRS (1 year post-injury, >=4) | Y | Fisher's exact test
Bleed progression | Mortality (1 year post-injury) | Y | Fisher's exact test

Age | Bleed progression | N | Regression
Gender | Bleed progression | N | Regression
GCS (<=8) | Bleed progression | N | Regression
Pupil reactivity | Bleed progression | N | Regression
Alcoholism | Bleed progression | N | Regression
EDH | Bleed progression | N | Regression
SAH | Bleed progression | N | Regression
SDH | Bleed progression | N | Regression
Contusion size (>3cm) | Bleed progression | N | Regression
Marshall score (>=5) | Bleed progression | N | Regression
INR (>1.2) | Bleed progression | N | Regression
aPTT (>36) | Bleed progression | N | Regression
Platelet count (<100x10^9) | Bleed progression | Y | Regression
Fibrinogen (<2) | Bleed progression | N | Regression
D-dimer (>10000) | Bleed progression | N | Regression

Age | mRS (at discharge, >=4) | N | Regression
Gender | mRS (at discharge, >=4) | N | Regression
GCS (<=8) | mRS (at discharge, >=4) | N | Regression
Pupil reactivity | mRS (at discharge, >=4) | Y | Regression
Alcoholism | mRS (at discharge, >=4) | Y | Regression
EDH | mRS (at discharge, >=4) | N | Regression
SAH | mRS (at discharge, >=4) | N | Regression
SDH | mRS (at discharge, >=4) | N | Regression
Contusion size (>3cm) | mRS (at discharge, >=4) | Y | Regression
Marshall score (>=5) | mRS (at discharge, >=4) | N | Regression
INR (>1.2) | mRS (at discharge, >=4) | N | Regression
aPTT (>36) | mRS (at discharge, >=4) | N | Regression
Platelet count (<100x10^9) | mRS (at discharge, >=4) | N | Regression
Fibrinogen (<2) | mRS (at discharge, >=4) | N | Regression
D-dimer (>10000) | mRS (at discharge, >=4) | Y | Regression
Bleed progression | mRS (at discharge, >=4) | Y | Regression

Age | mRS (1 year post-injury, >=4) | Y | Regression
Gender | mRS (1 year post-injury, >=4) | N | Regression
GCS (<=8) | mRS (1 year post-injury, >=4) | Y | Regression
Pupil reactivity | mRS (1 year post-injury, >=4) | N | Regression
Alcoholism | mRS (1 year post-injury, >=4) | N | Regression
EDH | mRS (1 year post-injury, >=4) | N | Regression
SAH | mRS (1 year post-injury, >=4) | N | Regression
SDH | mRS (1 year post-injury, >=4) | N | Regression
Contusion size (>3cm) | mRS (1 year post-injury, >=4) | Y | Regression
Marshall score (>=5) | mRS (1 year post-injury, >=4) | N | Regression
INR (>1.2) | mRS (1 year post-injury, >=4) | N | Regression
aPTT (>36) | mRS (1 year post-injury, >=4) | N | Regression
Platelet count (<100x10^9) | mRS (1 year post-injury, >=4) | Y | Regression
Fibrinogen (<2) | mRS (1 year post-injury, >=4) | N | Regression
D-dimer (>10000) | mRS (1 year post-injury, >=4) | Y | Regression
Bleed progression | mRS (at discharge, >=4) | Y | Regression","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","","No details given on how p-value was assessed for univariate analysis, assumed U-test and Fisher's exact test - also verified a few calculations manually using Fisher's and they were consistent, so most likely using these univariate tests"
7758,Kumar 2014,Relationship of preinjury depressive symptoms to outcomes 3 mos after complicated and uncomplicated mild traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective database/RCT data,"",Emergency department,2000,2004,18-72,"Clinical exam and history (any period of loss of consciousness, any loss of memory for events immediately before or after the accident, any alteration in mental status at the time of the accident, and focal neurological deficits that may or may not be transient; Brain Injury Inter-disciplinary Special Interest Group of the American Congress of Rehabilitation Medicine)",Mild,GCS,"","History of previous head injury requiring hospitalization, CNS disorder affecting cognitive functioning (e.g., stroke, dementia, epilepsy), major diagnosed psychiatric disorder (e.g., schizophrenia, bipolar disorder)
Homelessness",177,33.4,3.66,"Age | Affective outcome (3 months post-injury, HI-FI) | N | Regression
Education | Affective outcome (3 months post-injury, HI-FI) | N | Regression
Language (English vs Spanish) | Affective outcome (3 months post-injury, HI-FI) | N | Regression
Litigation status | Affective outcome (3 months post-injury, HI-FI) | Y | Regression
Injury severity | Affective outcome (3 months post-injury, HI-FI) | N | Regression
Preinjury depressive symptoms | Affective outcome (3 months post-injury, HI-FI) | Y | Regression

Age | Cognitive outcome (3 months post-injury, HI-FI) | N | Regression
Education | Cognitive outcome (3 months post-injury, HI-FI) | N | Regression
Language (English vs Spanish) | Cognitive outcome (3 months post-injury, HI-FI) | N | Regression
Litigation status | Cognitive outcome (3 months post-injury, HI-FI) | Y | Regression
Injury severity | Cognitive outcome (3 months post-injury, HI-FI) | N | Regression
Preinjury depressive symptoms | Cognitive outcome (3 months post-injury, HI-FI) | Y | Regression

Age | Physical outcome (3 months post-injury, HI-FI) | N | Regression
Education | Physical outcome (3 months post-injury, HI-FI) | N | Regression
Language (English vs Spanish) | Physical outcome (3 months post-injury, HI-FI) | N | Regression
Litigation status | Physical outcome (3 months post-injury, HI-FI) | Y | Regression
Injury severity | Physical outcome (3 months post-injury, HI-FI) | N | Regression
Preinjury depressive symptoms | Physical outcome (3 months post-injury, HI-FI) | N | Regression

Age | Physical outcome (3 months post-injury, SF-36) | N | Regression
Education | Physical outcome (3 months post-injury, SF-36) | N | Regression
Language (English vs Spanish) | Physical outcome (3 months post-injury, SF-36) | Y | Regression
Litigation status | Physical outcome (3 months post-injury, SF-36) | Y | Regression
Injury severity | Physical outcome (3 months post-injury, SF-36) | N | Regression
Preinjury depressive symptoms | Physical outcome (3 months post-injury, SF-36) | N | Regression

Age | Psychological outcome (3 months post-injury, SF-36) | N | Regression
Education | Psychological outcome (3 months post-injury, SF-36) | N | Regression
Language (English vs Spanish) | Psychological outcome (3 months post-injury, SF-36) | N | Regression
Litigation status | Psychological outcome (3 months post-injury, SF-36) | Y | Regression
Injury severity | Psychological outcome (3 months post-injury, SF-36) | N | Regression
Preinjury depressive symptoms | Psychological outcome (3 months post-injury, SF-36) | Y | Regression","Regression (i.e., logistic, linear)","",""
7718,Raj 2014,Predicting outcome after traumatic brain injury: development of prognostic scores based on the IMPACT and the APACHE II.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Finland,Cohort study,Prospective data collection,"",Emergency department; Hospital admission,2009,2012,>=16,ICD10 (S06.1–S06.9),Mild; Moderate; Severe,GCS,"ICU admission (cases where GCS = 13-15 were complicated mTBI)
Positive CT findings","Penetrating TBI
Death on arrival, before CT imaging, or before ICU admission",895,58,"","Age | Mortality (6 months post-injury) | Y | Chi-squared
Comorbidity (cardiovascular) | Mortality (6 months post-injury) | N | Fisher's exact test
Comorbidity (respiratory) | Mortality (6 months post-injury) | N | Fisher's exact test
Comorbidity (hepatic) | Mortality (6 months post-injury) | N | Fisher's exact test
Comorbidity (renal) | Mortality (6 months post-injury) | N | Fisher's exact test
Comorbidity (immunosuppression) | Mortality (6 months post-injury) | Y | Chi-squared
GCS | Mortality (6 months post-injury) | Y | Chi-squared
GCS motor | Mortality (6 months post-injury) | Y | Chi-squared
Pupil reactivity | Mortality (6 months post-injury) | Y | Chi-squared
Hypotension | Mortality (6 months post-injury) | N | Chi-squared
Hypoxia | Mortality (6 months post-injury) | Y | Chi-squared
Glucose | Mortality (6 months post-injury) | Y | T-test
Hemoglobin | Mortality (6 months post-injury) | Y | T-test
Platelet count | Mortality (6 months post-injury) | Y | T-test
Base excess | Mortality (6 months post-injury) | Y | T-test
INR | Mortality (6 months post-injury) | Y | T-test
Marshall score | Mortality (6 months post-injury) | Y | Chi-squared
Rotterdam score | Mortality (6 months post-injury) | Y | Chi-squared
EDH | Mortality (6 months post-injury) | Y | Chi-squared
SAH | Mortality (6 months post-injury) | N | Chi-squared
ICU duration | Mortality (6 months post-injury) | N | T-test
Admission duration | Mortality (6 months post-injury) | Y | T-test
IMPACT score (core model) | Mortality (6 months post-injury) | Y | T-test
IMPACT score (extended model) | Mortality (6 months post-injury) | Y | T-test
IMPACT score (lab model) | Mortality (6 months post-injury) | Y | T-test
APACHE II score | Mortality (6 months post-injury) | Y | T-test

Age | GOS (6 months post-injury) | Y | Chi-squared
Comorbidity (cardiovascular) | GOS (6 months post-injury) | N | Fisher's exact test
Comorbidity (respiratory) | GOS (6 months post-injury) | N | Fisher's exact test
Comorbidity (hepatic) | GOS (6 months post-injury) | N | Fisher's exact test
Comorbidity (renal) | GOS (6 months post-injury) | N | Fisher's exact test
Comorbidity (immunosuppression) | GOS (6 months post-injury) | Y | Chi-squared
GCS | GOS (6 months post-injury) | Y | Chi-squared
GCS motor | GOS (6 months post-injury) | Y | Chi-squared
Pupil reactivity | GOS (6 months post-injury) | Y | Chi-squared
Hypotension | GOS (6 months post-injury) | N | Chi-squared
Hypoxia | GOS (6 months post-injury) | Y | Chi-squared
Glucose | GOS (6 months post-injury) | Y | T-test
Hemoglobin | GOS (6 months post-injury) | Y | T-test
Platelet count | GOS (6 months post-injury) | Y | T-test
Base excess | GOS (6 months post-injury) | N | T-test
INR | GOS (6 months post-injury) | Y | T-test
Marshall score | GOS (6 months post-injury) | Y | Chi-squared
Rotterdam score | GOS (6 months post-injury) | Y | Chi-squared
EDH | GOS (6 months post-injury) | Y | Chi-squared
SAH | GOS (6 months post-injury) | Y | Chi-squared
ICU duration | GOS (6 months post-injury) | Y | T-test
Admission duration | GOS (6 months post-injury) | N | T-test
IMPACT score (core model) | GOS (6 months post-injury) | Y | T-test
IMPACT score (extended model) | GOS (6 months post-injury) | Y | T-test
IMPACT score (lab model) | GOS (6 months post-injury) | Y | T-test
APACHE II score | GOS (6 months post-injury) | Y | T-test","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","",""
7645,Hachimi 2014,[Early acute coagulopathy of severe head injuries: mortality and prognostic factors].,Steven Qiu,No (Full text not in English),"","","","","","","","","","","","","","","","","","","","",""
7609,Collins 2014,Effect of preinjury warfarin use on outcomes after head trauma in Medicare beneficiaries.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective database/RCT data,Medicare Provider and Analysis Review ,Emergency department; Hospital admission,2009,2011,>=65,"ICD9 codes (code indicating any injury at or above the brow line anteriorly and skull base posteriorly (concussion, skull fracture with or without ICH, and/or ICH alone))","","","","",11078,80,0.31,"Warfarin (preinjury use) | ICH | Y | Regression
Age (75-84) | ICH | Y | Regression
Age (>=85) | ICH | Y | Regression
Gender | ICH | Y | Regression
Ethnicity | ICH | Y | Regression
Elixhauser index | ICH | Y | Regression
Torso injury | ICH | Y | Regression
Long bone fracture | ICH | Y | Regression
Antiplatelet use | ICH | Y | Regression

Warfarin (preinjury use) | Hospital admission | N | Regression
Age (75-84) | Hospital admission | Y | Regression
Age (>=85) | Hospital admission | Y | Regression
Gender | Hospital admission | Y | Regression
Ethnicity | Hospital admission | N | Regression
Elixhauser index | Hospital admission | Y | Regression
Torso injury | Hospital admission | Y | Regression
Long bone fracture | Hospital admission | Y | Regression
ICH | Hospital admission | Y | Regression

Warfarin (preinjury use) | ICU admission | N | Regression
ICH | ICU admission | Y | Regression
Ethnicity | ICU admission | Y | Regression
Torso injury | ICU admission | Y | Regression

Warfarin (preinjury use) | Mortality (30 days post-injury, in-hospital) | Y | Regression
Age (>=85) | Mortality (30 days post-injury, in-hospital) | Y | Regression
ISS | Mortality (30 days post-injury, in-hospital) | Y | Regression
Elixhauser index | Mortality (30 days post-injury, in-hospital) | N | Regression
Antiplatelet use | Mortality (30 days post-injury, in-hospital) | N | Regression

Warfarin (preinjury use) | ICH | Y | Chi-square
Warfarin (preinjury use) | Hospital admission | Y | Chi-square
Warfarin (preinjury use) | Hospital LOS | N | Wilcoxon test
Warfarin (preinjury use) | ICU admission | N | Chi-square
Warfarin (preinjury use) | ICU LOS | N | Wilcoxon test
Warfarin (preinjury use) | Mortality (30 days post-injury, in-hospital) | Y | Chi-square","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","",P = 0.2 as significance level for this study in univariate regression analyses
7608,Bazzazi 2014,Correlation between arterial blood gas analysis and outcome in patients with severe head trauma.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Iran,Cohort study,Prospective data collection,"",Hospital admission, 2012,2013,18-80,Not defined,Other,GCS,"","Severe trauma to thoracic/abdominal regions
Requiring operation on brain, thoracic region, abdomen 
Hospital stay <24hrs
History of COPD",70,34.34,6,"pH (blood, arterial) | GCS (at discharge) | N | Pearson
PCO2 (blood, arterial) | GCS (at discharge) | N | Pearson
HCO3 (blood, arterial) | GCS (at discharge) | N | Pearson
PO2 (blood, arterial) | GCS (at discharge) | N | Pearson
SpO2 (blood, arterial) | GCS (at discharge) | N | Pearson

pH (blood, arterial) | GOS (at discharge) | N | Pearson
PCO2 (blood, arterial) | GOS (at discharge) | N | Pearson
HCO3 (blood, arterial) | GOS (at discharge) | N | Pearson
PO2 (blood, arterial) | GOS (at discharge) | N | Pearson
SpO2 (blood, arterial) | GOS (at discharge) | N | Pearson

pH (blood, arterial) | Mortality (at discharge) | N | T-test
PCO2 (blood, arterial) | Mortality (at discharge) | N | T-test
HCO3 (blood, arterial) | Mortality (at discharge) | N | T-test
PO2 (blood, arterial) | Mortality (at discharge) | N | T-test
SpO2 (blood, arterial) | Mortality (at discharge) | N | T-test","T-test/Mann-Whitney U-test/Wilcoxon test; Correlation (i.e., Pearson, Spearman, Kendall)","",""
7578,Barmparas 2014,Prehospital hypertension is predictive of traumatic brain injury and is associated with higher mortality.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective database/RCT data,NTDB,Emergency department,2007,2008,>=15,AIS (AIS head >=3),Mild; Moderate; Severe,GCS,"","Penetrating TBI
Nonsurvivable injuries (i.e., AIS for 6 in any body region)",45732,48.5,2.29,"SBP (<100mmHg, EMS) | Mortality | Y | Regression
SBP (160-180mmHg, EMS) | Mortality | Y | Regression
SBP (190-230mmHg, EMS) | Mortality | Y | Regression","Regression (i.e., logistic, linear)","",""
7577,Cipolle 2014,Long-term outcome in elderly patients after operation for traumatic intracranial hemorrhage.,Steven Qiu,No (Full text not available),"","","","","","","","","","","","","","","","","","","","",""
7574,Nguyen 2014,Effect of marijuana use on outcomes in traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective chart review,"",Emergency department; Hospital admission,2010,2012,>=16,"ICD9 codes (800.1–800.39, 800.6–800.89, 801.1–801.39, 801.6–801.89, 803.1–803.39, 803.6–803.89,804.1–804.29, and 804.6–804.79 (fractures with intracranial bleed); 851 (cerebral laceration and contusion, all), 852 (subarachnoid hemorrhage, subdural hemorrhage, extradural hematoma after injury, all), and 853 (other and unspecified intracerebral hemorrhage))","","",Available urine toxicology screen,Death within 24hrs of admission,446,49.4,3.6,"THC (urine screen) | Disability (at discharge) | Y | Fisher's exact test
THC (urine screen) | Mortality (at discharge) | Y | Fisher's exact test

Age (>=45) | Mortality (at discharge) | Y | Regression
THC (urine screen) | Mortality (at discharge) | Y | Regression
AIS head (>=4) | Mortality (at discharge) | Y | Regression
Mechanism | Mortality (at discharge) | N | Regression
Ethnicity | Mortality (at discharge) | N | Regression
Gender | Mortality (at discharge) | N | Regression
ETOH (>0.08) | Mortality (at discharge) | N | Regression
ISS (>=16) | Mortality (at discharge) | N | Regression","Regression (i.e., logistic, linear); Chi-squared/Fisher's exact test","",""
7537,Yu 2014,Diagnostic and prognostic significance of suPAR in traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,Other: China,Cohort study,Prospective data collection,"",Hospital admission,2011,2014,"",Not defined,Mild; Moderate; Severe,GCS,Isolated TBI,"History of coagulation disorders (e.g., DVT, PE)
Anticoagulant use
Non-head AIS <=3",112,48.11,2.03,suPAR | Mortality | Y | T-test,T-test/Mann-Whitney U-test/Wilcoxon test; Binary classifier with ROC,"",Doesn't explicitly state adult population
7522,Suehiro 2014,Predictors of deterioration indicating a requirement for surgery in mild to moderate traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Japan,Cohort study,Retrospective chart review,"",Hospital admission,2009,2010,24-95,Not defined,Mild; Moderate,GCS,No initial indications for surgical intervention,Anticoagulant or antiplatelet use,54,54.9,1.57,"Platelet count | Surgical intervention | N | U-test
Fibrinogen | Surgical intervention | N | U-test
PT-INR | Surgical intervention | N | U-test
FDP | Surgical intervention | Y | U-test
APTT | Surgical intervention | Y | U-test
D-dimer | Surgical intervention | Y | U-test",T-test/Mann-Whitney U-test/Wilcoxon test,"",""
